 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> mars 20, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_mylar.txt.txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -0,83%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,783E+01  2,574E+01     140 A        89 A        66 A   
   1,10 keV   1,870E+01  2,529E+01     154 A        96 A        72 A   
   1,20 keV   1,953E+01  2,485E+01     167 A       103 A        77 A   
   1,30 keV   2,033E+01  2,442E+01     181 A       109 A        82 A   
   1,40 keV   2,109E+01  2,400E+01     194 A       116 A        88 A   
   1,50 keV   2,183E+01  2,359E+01     208 A       123 A        93 A   
   1,60 keV   2,255E+01  2,319E+01     221 A       129 A        98 A   
   1,70 keV   2,324E+01  2,281E+01     235 A       135 A       103 A   
   1,80 keV   2,392E+01  2,244E+01     249 A       142 A       108 A   
   2,00 keV   2,521E+01  2,175E+01     276 A       154 A       118 A   
   2,25 keV   2,674E+01  2,094E+01     311 A       169 A       130 A   
   2,50 keV   2,819E+01  2,019E+01     345 A       183 A       142 A   
   2,75 keV   2,956E+01  1,951E+01     379 A       197 A       154 A   
   3,00 keV   3,088E+01  1,888E+01     414 A       210 A       165 A   
   3,25 keV   3,214E+01  1,829E+01     448 A       223 A       177 A   
   3,50 keV   3,335E+01  1,775E+01     483 A       236 A       188 A   
   3,75 keV   3,452E+01  1,724E+01     517 A       248 A       199 A   
   4,00 keV   3,565E+01  1,676E+01     551 A       260 A       209 A   
   4,50 keV   3,782E+01  1,590E+01     620 A       282 A       230 A   
